HandlingTime,AttackRate,NumberPersist,MinPrey,MinPred
0.01,0.01,0,199.842226640839,3.7653066128085e-10
0.03,0.01,0,199.842252559277,4.86069299159217e-29
0.05,0.01,0,199.842252559279,9.08142236034468e-47
0.07,0.01,0,199.842252559277,2.61985514634935e-63
0.09,0.01,0,199.842252559277,9.45905907918672e-79
0.11,0.01,0,199.800706064364,3.415427710834e-93
0.13,0.01,0,199.842252559278,1.00107382795711e-106
0.15,0.01,0,199.842252559278,1.97490407349188e-119
0.17,0.01,0,199.842252559277,2.21766572627716e-131
0.19,0.01,0,199.842252559277,1.22096008316902e-142
0.21,0.01,0,199.842252559277,2.88514998975058e-153
0.23,0.01,0,199.842252559278,2.59818300710254e-163
0.25,0.01,0,199.842252559278,8.0164384772446e-173
0.27,0.01,0,199.842252559278,7.70220481950292e-182
0.29,0.01,0,199.842252559277,2.11464940174898e-190
0.31,0.01,0,199.842252559278,1.53522642408999e-198
0.33,0.01,0,199.842252559279,2.74770512928589e-206
0.35,0.01,0,199.842252559278,1.13772451266365e-213
0.37,0.01,0,199.842252559278,1.0286880937807e-220
0.39,0.01,0,199.842252559278,1.92701120099865e-227
0.41,0.01,0,199.842252559278,7.12872468782958e-234
0.43,0.01,0,199.842252559278,4.98453056142049e-240
0.45,0.01,0,199.842252559278,6.32818155346184e-246
0.47,0.01,0,199.842252559277,1.40588417998687e-251
0.49,0.01,0,199.842252559278,5.28394049382584e-257
0.01,0.02,100,101.832002838681,87.3580502514428
0.03,0.02,100,106.201456308779,87.0463691084716
0.05,0.02,100,110.974001823742,86.3534085305034
0.07,0.02,100,116.157238120846,85.1453238070064
0.09,0.02,100,121.8340202945,83.2574280173271
0.11,0.02,100,128.087876034663,80.5186452259207
0.13,0.02,100,135.01572347898,76.6822761823825
0.15,0.02,100,142.734173727918,71.4161754819156
0.17,0.02,100,151.38747706809,64.269896824062
0.19,0.02,94,161.156867836823,54.6240981234372
0.21,0.02,80,172.27346003816,41.6130911099153
0.23,0.02,52,185.036780982627,24.0036626830697
0.25,0.02,0,199.204557334704,0.571662076234247
0.27,0.02,0,199.842252558438,1.60116742895857e-19
0.29,0.02,0,199.842252559277,6.59073021195702e-38
0.31,0.02,0,199.842252559277,4.60943547354091e-55
0.33,0.02,0,199.842252559281,4.61015546927931e-71
0.35,0.02,0,199.842252559278,5.21996894349652e-86
0.37,0.02,0,199.842252559278,5.35790479769042e-100
0.39,0.02,0,199.842252559279,4.07850309856553e-113
0.41,0.02,0,199.796439023485,1.92505346831609e-125
0.43,0.02,0,199.842252559278,4.80418591000801e-137
0.45,0.02,0,199.842252559277,5.50269107584994e-148
