"SpaceClearanceRate","HandlingTime","QualResult","Eigenvalue1","Eigenvalue2","ComplexPart"
0.01,0.01,"NoPosSolution","NA","NA","NA"
0.01,0.03,"NoPosSolution","NA","NA","NA"
0.01,0.05,"NoPosSolution","NA","NA","NA"
0.01,0.06999999999999999,"NoPosSolution","NA","NA","NA"
0.01,0.09,"NoPosSolution","NA","NA","NA"
0.01,0.11,"NoPosSolution","NA","NA","NA"
0.01,0.13,"NoPosSolution","NA","NA","NA"
0.01,0.15000000000000002,"NoPosSolution","NA","NA","NA"
0.01,0.17,"NoPosSolution","NA","NA","NA"
0.01,0.19,"NoPosSolution","NA","NA","NA"
0.01,0.21000000000000002,"NoPosSolution","NA","NA","NA"
0.01,0.23,"NoPosSolution","NA","NA","NA"
0.01,0.25,"NoPosSolution","NA","NA","NA"
0.01,0.27,"NoPosSolution","NA","NA","NA"
0.01,0.29000000000000004,"NoPosSolution","NA","NA","NA"
0.01,0.31,"NoPosSolution","NA","NA","NA"
0.01,0.33,"NoPosSolution","NA","NA","NA"
0.01,0.35000000000000003,"NoPosSolution","NA","NA","NA"
0.01,0.37,"NoPosSolution","NA","NA","NA"
0.01,0.39,"NoPosSolution","NA","NA","NA"
0.01,0.41000000000000003,"NoPosSolution","NA","NA","NA"
0.01,0.43,"NoPosSolution","NA","NA","NA"
0.01,0.45,"NoPosSolution","NA","NA","NA"
0.01,0.47000000000000003,"NoPosSolution","NA","NA","NA"
0.01,0.49,"NoPosSolution","NA","NA","NA"
0.01,0.51,"NoPosSolution","NA","NA","NA"
0.01,0.53,"NoPosSolution","NA","NA","NA"
0.01,0.55,"NoPosSolution","NA","NA","NA"
0.01,0.5700000000000001,"NoPosSolution","NA","NA","NA"
0.01,0.59,"NoPosSolution","NA","NA","NA"
0.01,0.61,"NoPosSolution","NA","NA","NA"
0.01,0.63,"NoPosSolution","NA","NA","NA"
0.01,0.65,"NoPosSolution","NA","NA","NA"
0.02,0.01,"True",-0.8757142857142857,-0.8757142857142857,0.491044284964114
0.02,0.03,"True",-0.8817021276595745,-0.8817021276595745,0.38288556786666617
0.02,0.05,"True",-0.8944444444444447,-0.8944444444444447,0.19992282461607175
0.02,0.06999999999999999,"False",-1.1995101828468062,-0.6302572590136584,0
0.02,0.09,"False",-1.412561023234546,-0.47573165969228276,0
0.02,0.11,"False",-1.5995838861714229,-0.3675956010080649,0
0.02,0.13,"False",-1.7878225585846212,-0.2819071711451079,0
0.02,0.15000000000000002,"False",-1.9888194417315601,-0.21118055826844093,0
0.02,0.17,"False",-2.211067507279475,-0.1519627957508267,0
0.02,0.19,"False",-2.4628404095107967,-0.1023208808117842,0
0.02,0.21000000000000002,"False",-2.7534688116720845,-0.061013946948605215,0
0.02,0.23,"False",-3.0943351003443347,-0.027146381137147086,0
0.02,0.25,"NoPosSolution","NA","NA","NA"
0.02,0.27,"NoPosSolution","NA","NA","NA"
0.02,0.29000000000000004,"NoPosSolution","NA","NA","NA"
0.02,0.31,"NoPosSolution","NA","NA","NA"
0.02,0.33,"NoPosSolution","NA","NA","NA"
0.02,0.35000000000000003,"NoPosSolution","NA","NA","NA"
0.02,0.37,"NoPosSolution","NA","NA","NA"
0.02,0.39,"NoPosSolution","NA","NA","NA"
0.02,0.41000000000000003,"NoPosSolution","NA","NA","NA"
0.02,0.43,"NoPosSolution","NA","NA","NA"
0.02,0.45,"NoPosSolution","NA","NA","NA"
0.02,0.47000000000000003,"NoPosSolution","NA","NA","NA"
0.02,0.49,"NoPosSolution","NA","NA","NA"
0.02,0.51,"NoPosSolution","NA","NA","NA"
0.02,0.53,"NoPosSolution","NA","NA","NA"
0.02,0.55,"NoPosSolution","NA","NA","NA"
0.02,0.5700000000000001,"NoPosSolution","NA","NA","NA"
0.02,0.59,"NoPosSolution","NA","NA","NA"
0.02,0.61,"NoPosSolution","NA","NA","NA"
0.02,0.63,"NoPosSolution","NA","NA","NA"
0.02,0.65,"NoPosSolution","NA","NA","NA"
0.03,0.01,"True",-0.5721428571428573,-0.5721428571428573,1.0152105944189154
0.03,0.03,"True",-0.5528014184397163,-0.5528014184397163,0.9840785495940034
0.03,0.05,"True",-0.5379629629629633,-0.5379629629629633,0.948997286866569
0.03,0.06999999999999999,"True",-0.5282558139534883,-0.5282558139534883,0.9093656003084444
0.03,0.09,"True",-0.5244308943089433,-0.5244308943089433,0.864275556228638
0.03,0.11,"True",-0.5273931623931625,-0.5273931623931625,0.8123154881331139
0.03,0.13,"True",-0.5382432432432431,-0.5382432432432431,0.7511951884184261
0.03,0.15000000000000002,"True",-0.5583333333333333,-0.5583333333333333,0.6769519103222088
0.03,0.17,"True",-0.5893434343434347,-0.5893434343434347,0.581957314926349
0.03,0.19,"True",-0.6333870967741939,-0.6333870967741939,0.4481303221608171
0.03,0.21000000000000002,"True",-0.69316091954023,-0.69316091954023,0.19372129367248894
0.03,0.23,"False",-1.1749406177501334,-0.3693803699041883,0
0.03,0.25,"False",-1.5196898479113825,-0.23031015208861835,0
0.03,0.27,"False",-1.873842826387237,-0.1419542750620378,0
0.03,0.29000000000000004,"False",-2.279030365385081,-0.07985852350380938,0
0.03,0.31,"False",-2.768283208307357,-0.03540100221896038,0
0.03,0.33,"False",-3.381938794066115,-0.004139637306436286,0
0.03,0.35000000000000003,"NoPosSolution","NA","NA","NA"
0.03,0.37,"NoPosSolution","NA","NA","NA"
0.03,0.39,"NoPosSolution","NA","NA","NA"
0.03,0.41000000000000003,"NoPosSolution","NA","NA","NA"
0.03,0.43,"NoPosSolution","NA","NA","NA"
0.03,0.45,"NoPosSolution","NA","NA","NA"
0.03,0.47000000000000003,"NoPosSolution","NA","NA","NA"
0.03,0.49,"NoPosSolution","NA","NA","NA"
0.03,0.51,"NoPosSolution","NA","NA","NA"
0.03,0.53,"NoPosSolution","NA","NA","NA"
0.03,0.55,"NoPosSolution","NA","NA","NA"
0.03,0.5700000000000001,"NoPosSolution","NA","NA","NA"
0.03,0.59,"NoPosSolution","NA","NA","NA"
0.03,0.61,"NoPosSolution","NA","NA","NA"
0.03,0.63,"NoPosSolution","NA","NA","NA"
0.03,0.65,"NoPosSolution","NA","NA","NA"
0.04,0.01,"True",-0.42035714285714304,-0.42035714285714304,1.1646028818653074
0.04,0.03,"True",-0.3883510638297875,-0.3883510638297875,1.1393785372834933
0.04,0.05,"True",-0.35972222222222233,-0.35972222222222233,1.1115754238195024
0.04,0.06999999999999999,"True",-0.3349418604651162,-0.3349418604651162,1.0811169918691346
0.04,0.09,"True",-0.31457317073170726,-0.31457317073170726,1.047875813374753
0.04,0.11,"True",-0.299294871794872,-0.299294871794872,1.0116435042628855
0.04,0.13,"True",-0.2899324324324324,-0.2899324324324324,0.9720798242036572
0.04,0.15000000000000002,"True",-0.28750000000000014,-0.28750000000000014,0.9286246550679126
0.04,0.17,"True",-0.29325757575757583,-0.29325757575757583,0.880340839823298
0.04,0.19,"True",-0.3087903225806454,-0.3087903225806454,0.8256200922219255
