"SpaceClearanceRate","HandlingTime","QualResult","Eigenvalue1","Eigenvalue2","ComplexPart"
0.004,0.0064,"False",-2.524211447256618,-0.176039135106111,0
0.004,0.0128,"False",-2.655998942136745,-0.13694282562755383,0
0.004,0.019200000000000002,"False",-2.8044030352117186,-0.10094126858575066,0
0.004,0.0256,"False",-2.9720258666591857,-0.06811515413476535,0
0.004,0.032,"False",-3.1620048879218277,-0.03851986455341965,0
0.004,0.038400000000000004,"False",-3.378141356901075,-0.012184214824496852,0
0.004,0.044800000000000006,"NoPosSolution","NA","NA","NA"
0.004,0.0512,"NoPosSolution","NA","NA","NA"
0.004,0.057600000000000005,"NoPosSolution","NA","NA","NA"
0.004,0.064,"NoPosSolution","NA","NA","NA"
0.004,0.0704,"NoPosSolution","NA","NA","NA"
0.004,0.07680000000000001,"NoPosSolution","NA","NA","NA"
0.004,0.08320000000000001,"NoPosSolution","NA","NA","NA"
0.004,0.08960000000000001,"NoPosSolution","NA","NA","NA"
0.004,0.096,"NoPosSolution","NA","NA","NA"
0.004,0.1024,"NoPosSolution","NA","NA","NA"
0.004,0.10880000000000001,"NoPosSolution","NA","NA","NA"
0.004,0.11520000000000001,"NoPosSolution","NA","NA","NA"
0.004,0.12160000000000001,"NoPosSolution","NA","NA","NA"
0.004,0.128,"NoPosSolution","NA","NA","NA"
0.004,0.1344,"NoPosSolution","NA","NA","NA"
0.004,0.1408,"NoPosSolution","NA","NA","NA"
0.004,0.1472,"NoPosSolution","NA","NA","NA"
0.004,0.1536,"NoPosSolution","NA","NA","NA"
0.004,0.16,"NoPosSolution","NA","NA","NA"
0.008,0.0064,"True",-0.6414626455906824,-0.6414626455906824,0.905751441793941
0.008,0.0128,"True",-0.6310354419410746,-0.6310354419410746,0.8677639489021381
0.008,0.019200000000000002,"True",-0.6255360759493673,-0.6255360759493673,0.8241872467381834
0.008,0.0256,"True",-0.6256352551984877,-0.6256352551984877,0.7736410843877949
0.008,0.032,"True",-0.6321311881188119,-0.6321311881188119,0.7139398861301273
0.008,0.038400000000000004,"True",-0.6459813929313929,-0.6459813929313929,0.64137979387132
0.008,0.044800000000000006,"True",-0.6683445295404811,-0.6683445295404811,0.5489404246667511
0.008,0.0512,"True",-0.7006361431870671,-0.7006361431870671,0.4201059329025857
0.008,0.057600000000000005,"True",-0.7446040342298289,-0.7446040342298289,0.1797354506174666
0.008,0.064,"False",-1.1736417625941122,-0.4312218737695239,0
0.008,0.0704,"False",-1.4629428278406573,-0.2908247621870433,0
0.008,0.07680000000000001,"False",-1.74547232999676,-0.19755111213973825,0
0.008,0.08320000000000001,"False",-2.0532490460790456,-0.12866437245130474,0
0.008,0.08960000000000001,"False",-2.406535809424023,-0.07626730476282777,0
0.008,0.096,"False",-2.8261274888212684,-0.03641024702778661,0
0.008,0.1024,"False",-3.3380039581448844,-0.006668655962999746,0
0.008,0.10880000000000001,"NoPosSolution","NA","NA","NA"
0.008,0.11520000000000001,"NoPosSolution","NA","NA","NA"
0.008,0.12160000000000001,"NoPosSolution","NA","NA","NA"
0.008,0.128,"NoPosSolution","NA","NA","NA"
0.008,0.1344,"NoPosSolution","NA","NA","NA"
0.008,0.1408,"NoPosSolution","NA","NA","NA"
0.008,0.1472,"NoPosSolution","NA","NA","NA"
0.008,0.1536,"NoPosSolution","NA","NA","NA"
0.008,0.16,"NoPosSolution","NA","NA","NA"
0.012,0.0064,"True",-0.4052417637271215,-0.4052417637271215,1.1533165709948556
0.012,0.0128,"True",-0.37589029462738294,-0.37589029462738294,1.128018832469095
0.012,0.019200000000000002,"True",-0.3498240506329111,-0.3498240506329111,1.1003195597637907
0.012,0.0256,"True",-0.3274901701323252,-0.3274901701323252,1.0701355934958434
0.012,0.032,"True",-0.30942079207920803,-0.30942079207920803,1.0373325278950216
0.012,0.038400000000000004,"True",-0.29625426195426185,-0.29625426195426185,1.0016952691681913
0.012,0.044800000000000006,"True",-0.28876301969365414,-0.28876301969365414,0.9628789739408595
0.012,0.0512,"True",-0.28789076212471143,-0.28789076212471143,0.9203254365077894
0.012,0.057600000000000005,"True",-0.2948026894865524,-0.2948026894865524,0.8731158996785564
0.012,0.064,"True",-0.3109545454545455,-0.3109545454545455,0.8196995002201458
0.012,0.0704,"True",-0.3381891966759,-0.3381891966759,0.7573559712920404
0.012,0.07680000000000001,"True",-0.37887448071216623,-0.37887448071216623,0.6810096385992539
0.012,0.08320000000000001,"True",-0.43610447284345066,-0.43610447284345066,0.5800800709953203
0.012,0.08960000000000001,"True",-0.5140010380622837,-0.5140010380622837,0.42643045490548
0.012,0.096,"False",-0.7475839565522825,-0.4887745340137541,0
0.012,0.1024,"False",-1.2926983297891428,-0.2202834129494455,0
0.012,0.10880000000000001,"False",-1.7648650097412366,-0.11565757090392323,0
0.012,0.11520000000000001,"False",-2.319666659249469,-0.05323178634638487,0
0.012,0.12160000000000001,"False",-3.029150914140054,-0.014142576984204744,0
0.012,0.128,"NoPosSolution","NA","NA","NA"
0.012,0.1344,"NoPosSolution","NA","NA","NA"
0.012,0.1408,"NoPosSolution","NA","NA","NA"
0.012,0.1472,"NoPosSolution","NA","NA","NA"
0.012,0.1536,"NoPosSolution","NA","NA","NA"
0.012,0.16,"NoPosSolution","NA","NA","NA"
0.016,0.0064,"True",-0.287131322795341,-0.287131322795341,1.2422421678037654
0.016,0.0128,"True",-0.24831772097053745,-0.24831772097053745,1.2179114538635387
0.016,0.019200000000000002,"True",-0.21196803797468364,-0.21196803797468364,1.1913855592868174
0.016,0.0256,"True",-0.17841762759924412,-0.17841762759924412,1.1626939193794117
0.016,0.032,"True",-0.14806559405940614,-0.14806559405940614,1.131868623054741
0.016,0.038400000000000004,"True",-0.12139069646569633,-0.12139069646569633,1.098942354635389
0.016,0.044800000000000006,"True",-0.09897226477024038,-0.09897226477024038,1.0639428982827273
0.016,0.0512,"True",-0.0815180715935333,-0.0815180715935333,1.026881105096238
0.016,0.057600000000000005,"True",-0.0699020171149145,-0.0699020171149145,0.9877265350304537
0.016,0.064,"True",-0.06521590909090917,-0.06521590909090917,0.9463598074735879
0.016,0.0704,"True",-0.06884189750692535,-0.06884189750692535,0.9024803561006999
0.016,0.07680000000000001,"True",-0.08255586053412486,-0.08255586053412486,0.8554265192823227
0.016,0.08320000000000001,"True",-0.10867835463258793,-0.10867835463258793,0.8038152867632925
0.016,0.08960000000000001,"True",-0.15030077854671253,-0.15030077854671253,0.7447816297199146
0.016,0.096,"True",-0.21163443396226372,-0.21163443396226372,0.6722059701917801
0.016,0.1024,"True",-0.29856815352697075,-0.29856815352697075,0.5717228854082153
0.016,0.10880000000000001,"True",-0.41959596774193547,-0.41959596774193547,0.3991355958251643
0.016,0.11520000000000001,"False",-0.8880232301104103,-0.28685060408648155,0
0.016,0.12160000000000001,"False",-1.5303087622746097,-0.11376135606858656,0
0.016,0.128,"False",-2.27194543641932,-0.0411321497875763,0
0.016,0.1344,"False",-3.2969066884757607,-0.0038854602845682876,0
0.016,0.1408,"NoPosSolution","NA","NA","NA"
0.016,0.1472,"NoPosSolution","NA","NA","NA"
0.016,0.1536,"NoPosSolution","NA","NA","NA"
0.016,0.16,"NoPosSolution","NA","NA","NA"
0.02,0.0064,"True",-0.21626505823627304,-0.21626505823627304,1.2874740481213833
0.02,0.0128,"True",-0.17177417677643014,-0.17177417677643014,1.2626217296533349
0.02,0.019200000000000002,"True",-0.12925443037974693,-0.12925443037974693,1.235464808170272
0.02,0.0256,"True",-0.08897410207939516,-0.08897410207939516,1.2060363216583345
0.02,0.032,"True",-0.05125247524752472,-0.05125247524752472,1.1743820433662129
0.02,0.038400000000000004,"True",-0.016472557172557193,-0.016472557172557193,1.1405650594596508
0.02,0.044800000000000006,"Unstable",0.01490218818380767,0.01490218818380767,0
0.02,0.0512,"Unstable",0.04230554272517312,0.04230554272517312,0
0.02,0.057600000000000005,"Unstable",0.06503838630806852,0.06503838630806852,0
0.02,0.064,"Unstable",0.08222727272727269,0.08222727272727269,0
0.02,0.0704,"Unstable",0.09276648199445982,0.09276648199445982,0
0.02,0.07680000000000001,"Unstable",0.09523531157270032,0.09523531157270032,0
0.02,0.08320000000000001,"Unstable",0.0877773162939296,0.0877773162939296,0
0.02,0.08960000000000001,"Unstable",0.06791937716262986,0.06791937716262986,0
0.02,0.096,"Unstable",0.03229245283018897,0.03229245283018897,0
0.02,0.1024,"True",-0.02381452282157709,-0.02381452282157709,0.7029885265797591
0.02,0.10880000000000001,"True",-0.10719677419354855,-0.10719677419354855,0.6345304181853675
0.02,0.11520000000000001,"True",-0.22802953367875609,-0.22802953367875609,0.5305492736497233
0.02,0.12160000000000001,"True",-0.40226804733727806,-0.40226804733727806,0.30169590333886415
0.02,0.128,"False",-1.165058307672179,-0.14780376129333878,0
0.02,0.1344,"False",-2.0310741234671097,-0.045079595541153435,0
0.02,0.1408,"False",-3.2803349892194054,-0.0033289283063734536,0
0.02,0.1472,"NoPosSolution","NA","NA","NA"
0.02,0.1536,"NoPosSolution","NA","NA","NA"
0.02,0.16,"NoPosSolution","NA","NA","NA"
0.024,0.0064,"True",-0.1690208818635609,-0.1690208818635609,1.3146451770322152
0.024,0.0128,"True",-0.12074514731369157,-0.12074514731369157,1.2890463953637181
0.024,0.019200000000000002,"True",-0.07411202531645553,-0.07411202531645553,1.2609866802244554
0.024,0.0256,"True",-0.029345085066162624,-0.029345085066162624,1.2304791204983774
0.024,0.032,"Unstable",0.013289603960395913,0.013289603960395913,0
0.024,0.038400000000000004,"Unstable",0.05347286902286934,0.05347286902286934,0
0.024,0.044800000000000006,"Unstable",0.09081849015317284,0.09081849015317284,0
0.024,0.0512,"Unstable",0.12485461893764432,0.12485461893764432,0
0.024,0.057600000000000005,"Unstable",0.1549986552567238,0.1549986552567238,0
0.024,0.064,"Unstable",0.18052272727272736,0.18052272727272736,0
0.024,0.0704,"Unstable",0.2005054016620499,0.2005054016620499,0
0.024,0.07680000000000001,"Unstable",0.21376275964391694,0.21376275964391694,0
0.024,0.08320000000000001,"Unstable",0.2187477635782747,0.2187477635782747,0
0.024,0.08960000000000001,"Unstable",0.21339948096885825,0.21339948096885825,0
0.024,0.096,"Unstable",0.1949103773584907,0.1949103773584907,0
0.024,0.1024,"Unstable",0.15935456431535275,0.15935456431535275,0
0.024,0.10880000000000001,"Unstable",0.10106935483871007,0.10106935483871007,0
0.024,0.11520000000000001,"Unstable",0.011575388601036907,0.011575388601036907,0
0.024,0.12160000000000001,"True",-0.1224233727810648,-0.1224233727810648,0.5388436858653062
0.024,0.128,"True",-0.32302586206896516,-0.32302586206896516,0.3469211616990267
0.024,0.1344,"False",-1.1325256862389603,-0.12720241293459172,0
0.024,0.1408,"False",-2.214953948467535,-0.028632649470603632,0
0.024,0.1472,"NoPosSolution","NA","NA","NA"
0.024,0.1536,"NoPosSolution","NA","NA","NA"
0.024,0.16,"NoPosSolution","NA","NA","NA"
0.028,0.0064,"True",-0.1352750415973377,-0.1352750415973377,1.3326892597754503
0.028,0.0128,"True",-0.08429584055459284,-0.08429584055459284,1.3063744529288661
0.028,0.019200000000000002,"True",-0.03472459312839088,-0.03472459312839088,1.2774483170101514
0.028,0.0256,"Unstable",0.013247069943289225,0.013247069943289225,0
0.028,0.032,"Unstable",0.05939108910891096,0.05939108910891096,0
0.028,0.038400000000000004,"Unstable",0.10343388773388792,0.10343388773388792,0
0.028,0.044800000000000006,"Unstable",0.14504442013129124,0.14504442013129124,0
0.028,0.0512,"Unstable",0.18381824480369535,0.18381824480369535,0
0.028,0.057600000000000005,"Unstable",0.2192559902200488,0.2192559902200488,0
0.028,0.064,"Unstable",0.2507337662337663,0.2507337662337663,0
0.028,0.0704,"Unstable",0.2774617728531859,0.2774617728531859,0
0.028,0.07680000000000001,"Unstable",0.2984252225519286,0.2984252225519286,0
0.028,0.08320000000000001,"Unstable",0.3122980830670927,0.3122980830670927,0
0.028,0.08960000000000001,"Unstable",0.3173138408304501,0.3173138408304501,0
0.028,0.096,"Unstable",0.3110660377358491,0.3110660377358491,0
0.028,0.1024,"Unstable",0.29018962655601677,0.29018962655601677,0
0.028,0.10880000000000001,"Unstable",0.2498308755760369,0.2498308755760369,0
0.028,0.11520000000000001,"Unstable",0.1827217616580319,0.1827217616580319,0
0.028,0.12160000000000001,"Unstable",0.07746568047337293,0.07746568047337293,0
0.028,0.128,"True",-0.08487931034482579,-0.08487931034482579,0.5049707938835546
0.028,0.1344,"True",-0.33828347107437884,-0.33828347107437884,0.25908356412144384
0.028,0.1408,"False",-1.4301060327772688,-0.07056819402685337,0
0.028,0.1472,"False",-2.948153995884421,-0.0068788808279047564,0
0.028,0.1536,"NoPosSolution","NA","NA","NA"
0.028,0.16,"NoPosSolution","NA","NA","NA"
0.032,0.0064,"True",-0.10996566139767056,-0.10996566139767056,1.3455082880879525
0.032,0.0128,"True",-0.0569588604852687,-0.0569588604852687,1.3185600813812848
0.032,0.019200000000000002,"True",-0.005184018987341666,-0.005184018987341666,1.2888669931172647
0.032,0.0256,"Unstable",0.04519118620037807,0.04519118620037807,0
0.032,0.032,"Unstable",0.09396720297029673,0.09396720297029673,0
0.032,0.038400000000000004,"Unstable",0.14090465176715183,0.14090465176715183,0
0.032,0.044800000000000006,"Unstable",0.18571386761488012,0.18571386761488012,0
0.032,0.0512,"Unstable",0.22804096420323336,0.22804096420323336,0
0.032,0.057600000000000005,"Unstable",0.26744899144254286,0.26744899144254286,0
0.032,0.064,"Unstable",0.30339204545454523,0.30339204545454523,0
0.032,0.0704,"Unstable",0.33517905124653713,0.33517905124653713,0
0.032,0.07680000000000001,"Unstable",0.3619220697329376,0.3619220697329376,0
0.032,0.08320000000000001,"Unstable",0.38246082268370596,0.38246082268370596,0
0.032,0.08960000000000001,"Unstable",0.39524961072664355,0.39524961072664355,0
0.032,0.096,"Unstable",0.39818278301886817,0.39818278301886817,0
0.032,0.1024,"Unstable",0.3883159232365146,0.3883159232365146,0
0.032,0.10880000000000001,"Unstable",0.3614020161290322,0.3614020161290322,0
0.032,0.11520000000000001,"Unstable",0.311081541450777,0.311081541450777,0
0.032,0.12160000000000001,"Unstable",0.22738247041420098,0.22738247041420098,0
0.032,0.128,"Unstable",0.09373060344827594,0.09373060344827594,0
0.032,0.1344,"True",-0.11959803719008247,-0.11959803719008247,0.44201958044896583
0.032,0.1408,"False",-0.7775199253072487,-0.16597002314635995,0
0.032,0.1472,"False",-2.1770192369090617,-0.022234530214223284,0
0.032,0.1536,"NoPosSolution","NA","NA","NA"
0.032,0.16,"NoPosSolution","NA","NA","NA"
0.036000000000000004,0.0064,"True",-0.0902805879090407,-0.0902805879090407,1.3550680482716722
0.036000000000000004,0.0128,"True",-0.03569676487579444,-0.03569676487579444,1.3275713694477607
0.036000000000000004,0.019200000000000002,"Unstable",0.01779198312236241,0.01779198312236241,0
0.036000000000000004,0.0256,"Unstable",0.07003660995589148,0.07003660995589148,0
0.036000000000000004,0.032,"Unstable",0.12085973597359734,0.12085973597359734,0
0.036000000000000004,0.038400000000000004,"Unstable",0.1700485793485793,0.1700485793485793,0
0.036000000000000004,0.044800000000000006,"Unstable",0.21734566010211542,0.21734566010211542,0
0.036000000000000004,0.0512,"Unstable",0.26243641262509587,0.26243641262509587,0
0.036000000000000004,0.057600000000000005,"Unstable",0.3049324368378156,0.3049324368378156,0
0.036000000000000004,0.064,"Unstable",0.34434848484848507,0.34434848484848507,0
0.036000000000000004,0.0704,"Unstable",0.3800702677747001,0.3800702677747001,0
0.036000000000000004,0.07680000000000001,"Unstable",0.41130850642927774,0.41130850642927774,0
0.036000000000000004,0.08320000000000001,"Unstable",0.4370318423855167,0.4370318423855167,0
0.036000000000000004,0.08960000000000001,"Unstable",0.45586632064590565,0.45586632064590565,0
0.036000000000000004,0.096,"Unstable",0.46594025157232716,0.46594025157232716,0
0.036000000000000004,0.1024,"Unstable",0.46463637621023496,0.46463637621023496,0
0.036000000000000004,0.10880000000000001,"Unstable",0.44817956989247343,0.44817956989247343,0
0.036000000000000004,0.11520000000000001,"Unstable",0.4109169257340245,0.4109169257340245,0
0.036000000000000004,0.12160000000000001,"Unstable",0.343984418145957,0.343984418145957,0
0.036000000000000004,0.128,"Unstable",0.23264942528735652,0.23264942528735652,0
0.036000000000000004,0.1344,"Unstable",0.050490633608816116,0.050490633608816116,0
0.036000000000000004,0.1408,"True",-0.25506219931271434,-0.25506219931271434,0.2930243581714006
0.036000000000000004,0.1472,"False",-1.5665630285620984,-0.04486254221415388,0
0.036000000000000004,0.1536,"NoPosSolution","NA","NA","NA"
0.036000000000000004,0.16,"NoPosSolution","NA","NA","NA"
0.04000000000000001,0.0064,"True",-0.07453252911813647,-0.07453252911813647,1.3624628076036622
0.04000000000000001,0.0128,"True",-0.01868708838821492,-0.01868708838821492,1.3344927098817625
0.04000000000000001,0.019200000000000002,"Unstable",0.036172784810126785,0.036172784810126785,0
0.04000000000000001,0.0256,"Unstable",0.08991294896030227,0.08991294896030227,0
0.04000000000000001,0.032,"Unstable",0.1423737623762374,0.1423737623762374,0
0.04000000000000001,0.038400000000000004,"Unstable",0.19336372141372155,0.19336372141372155,0
0.04000000000000001,0.044800000000000006,"Unstable",0.24265109409190416,0.24265109409190416,0
0.04000000000000001,0.0512,"Unstable",0.28995277136258685,0.28995277136258685,0
0.04000000000000001,0.057600000000000005,"Unstable",0.3349191931540345,0.3349191931540345,0
0.04000000000000001,0.064,"Unstable",0.3771136363636366,0.3771136363636366,0
0.04000000000000001,0.0704,"Unstable",0.41598324099723005,0.41598324099723005,0
