HandlingTime,AttackRate,NumberPersist,MinPrey,MinPred
0.0064,0.004,100,1558.28176041955,200.190112937267
0.0128,0.004,100,1623.47075483539,177.784646243301
0.0192,0.004,100,1693.93617516152,150.641511523745
0.0256,0.004,100,1770.7950698418,117.727406767277
0.032,0.004,95,1854.95919005658,77.7256036626959
0.0384,0.004,54,1947.52225233694,28.9530768008455
0.0448,0.004,0,1998.19599998233,3.71288090895556e-09
0.0512,0.004,0,1998.42252559276,1.53588239588006e-27
0.0576,0.004,0,1998.42252559277,9.24773572050651e-45
0.064,0.004,0,1998.42252559277,7.74456978463007e-61
0.0704,0.004,0,1998.42252559279,7.19407878185947e-76
0.0768,0.004,0,1998.42252559277,5.95162236585034e-90
0.0832,0.004,0,1998.4225255928,3.59758499660734e-103
0.0896,0.004,0,1998.42252559277,1.33224283875909e-115
0.096,0.004,0,1998.4225255928,2.58441349691965e-127
0.1024,0.004,0,1998.42252559279,2.28482064414488e-138
0.1088,0.004,0,1998.42252559277,8.13018438898646e-149
0.1152,0.004,0,1998.4225255928,1.04197575181255e-158
0.1216,0.004,0,1998.42252559277,4.35367542495836e-168
0.128,0.004,0,1998.42252559277,5.42236929944207e-177
0.1344,0.004,0,1998.42252559277,1.85685862301415e-185
0.1408,0.004,0,1998.42252559277,1.62524380580329e-193
0.1472,0.004,0,1998.42252559279,3.40312819323621e-201
0.1536,0.004,0,1998.42252559277,1.60533162060863e-208
0.16,0.004,0,1998.42252559279,1.61519774883223e-215
0.0064,0.008,100,778.070681918931,277.157466935811
0.0128,0.008,100,810.759646673125,281.015068283201
0.0192,0.008,100,845.784210002002,284.564457428544
0.0256,0.008,100,884.788215870788,287.579474538479
0.032,0.008,100,927.77578279354,290.042902332339
0.0384,0.008,100,973.30916178215,291.259373214308
0.0448,0.008,100,1024.12025805244,291.212498251449
0.0512,0.008,100,1079.97961688211,289.319460813565
0.0576,0.008,100,1144.68325549307,285.207240145289
0.064,0.008,100,1216.23579878747,277.778079152098
0.0704,0.008,100,1297.22562490395,265.625360277415
0.0768,0.008,100,1389.68743662108,247.048409127527
0.0832,0.008,100,1496.30160693396,219.420651277421
0.0896,0.008,100,1620.60878880629,178.819146658395
0.096,0.008,99,1767.42355128758,119.237527518513
0.1024,0.008,69,1943.46899407944,31.1884434336891
0.1088,0.008,0,1998.42252187256,1.9967451281515e-13
0.1152,0.008,0,1998.42252559276,1.33622958112503e-31
0.1216,0.008,0,1998.42252559276,1.4615225163703e-48
0.128,0.008,0,1998.42252559277,2.15044807945183e-64
0.1344,0.008,0,1998.42252559277,3.35277238231603e-79
0.1408,0.008,0,1998.42252559276,4.4524344234143e-93
0.1472,0.008,0,1998.42252559276,4.14699533055396e-106
0.1536,0.008,0,1998.42252559276,2.28053602650901e-118
0.16,0.008,0,1998.42252559277,6.35577700433459e-130
0.0064,0.012,100,518.472817759701,224.131027660336
0.0128,0.012,100,540.519114319028,230.193801143472
0.0192,0.012,100,564.63206140061,236.396206969911
0.0256,0.012,100,589.313431924808,242.402979171965
0.032,0.012,100,617.635453992933,248.992986619023
0.0384,0.012,100,648.069942675803,255.462305910298
0.0448,0.012,100,682.493634144603,262.200640752628
0.0512,0.012,100,719.733140846222,268.693787107661
0.0576,0.012,100,761.761534938269,275.090251492768
0.064,0.012,100,808.807343173264,280.966201398855
0.0704,0.012,100,862.494646829302,286.039526079981
0.0768,0.012,100,925.170446195047,289.738785635738
0.0832,0.012,100,995.884140978751,291.227890437881
0.0896,0.012,100,1079.49759571457,289.537711949032
0.096,0.012,100,1177.96393467445,282.201899583552
0.1024,0.012,100,1295.34099005916,265.948279689172
0.1088,0.012,100,1438.76065045077,235.15203332842
0.1152,0.012,100,1617.77958087338,179.838026041036
0.1216,0.012,95,1847.61237135365,81.3742843569748
0.128,0.012,0,1998.42149136662,1.54659183243926e-08
0.1344,0.012,0,1998.42252559276,4.88955907162534e-27
0.1408,0.012,0,1998.42252559277,2.59959816144888e-44
0.1472,0.012,0,1998.42252559277,1.99621213498937e-60
0.1536,0.012,0,1998.42252559279,1.73029536009427e-75
0.16,0.012,0,1998.42252559277,1.35000877036685e-89
0.0064,0.016,100,388.935540266995,182.879536596517
0.0128,0.016,100,405.086431535196,188.525443816072
