ResDens,PredDens,SCRate,HandlingTime,Pop,Extinct,Time
516,223,24.9622080259853,11.3857413529372,1,1,0
611,207,24.9024358605179,11.2777253766046,1,1,0.25
706,218,24.7661619799918,11.2456922419273,1,1,0.5
859,221,24.6763488657971,11.2936888282261,1,1,0.75
936,233,24.5501232191489,11.2092254834133,1,1,1
897,247,24.3174052363981,11.1661067110751,1,1,1.25
916,256,24.038827259896,11.192278376349,1,1,1.5
822,275,23.8238116502017,11.1810521587005,1,1,1.75
706,263,23.7562980241777,11.2363326402541,1,1,2
663,259,23.6104726538955,11.2343172706522,1,1,2.25
709,234,23.454721642244,11.1616740912344,1,1,2.5
737,225,23.4387266338291,11.1187799418568,1,1,2.75
773,238,23.1626236383896,11.1535860049401,1,1,3
686,247,22.9107835280706,11.1471762585023,1,1,3.25
657,261,22.8082737625198,11.0945800106861,1,1,3.5
658,256,22.3857391447315,11.0793427003284,1,1,3.75
559,256,22.3011238524151,11.0191541857718,1,1,4
494,269,22.2433235704514,10.992070287161,1,1,4.25
412,270,22.1257953182627,10.8988497858637,1,1,4.5
345,257,21.8655312258896,10.9660425394858,1,1,4.75
297,241,21.7321700716999,10.8978694984292,1,1,5
242,233,21.6156693607464,10.8552949283162,1,1,5.25
234,219,21.4700409726837,10.8101965885866,1,1,5.5
226,189,21.4627029069035,10.6971595499409,1,1,5.75
242,169,21.3136455383515,10.7349284244626,1,1,6
249,167,21.2264471499839,10.7019092390184,1,1,6.25
264,154,21.01158716781,10.7824101338623,1,1,6.5
255,156,21.0410321423585,10.7678507218781,1,1,6.75
278,157,20.8471921055981,10.7810011257663,1,1,7
320,169,20.4889326960932,10.7804411333288,1,1,7.25
348,176,20.0865598676329,10.7542161832525,1,1,7.5
391,172,19.9535531049794,10.6660087916426,1,1,7.75
405,168,19.9585799314483,10.7929203874621,1,1,8
395,172,19.8046450234468,10.6990243723865,1,1,8.25
380,168,19.4434480818866,10.6511713288857,1,1,8.5
355,163,19.5059136049475,10.6229812050941,1,1,8.75
353,166,19.5571736264091,10.5742882146856,1,1,9
356,164,19.5691927693628,10.5552437002288,1,1,9.25
412,160,19.485066134906,10.5800928926339,1,1,9.5
412,160,19.6894889858095,10.537788578067,1,1,9.75
395,160,19.5359098372174,10.4627425732441,1,1,10
415,167,19.3710491100607,10.4306080329057,1,1,10.25
386,177,19.1090096420533,10.4026534723636,1,1,10.5
380,197,19.2214288013645,10.4326402071303,1,1,10.75
330,195,19.1032392534024,10.4082320107556,1,1,11
288,188,19.0646773253893,10.4299002849469,1,1,11.25
263,190,18.7116436294629,10.4148733562162,1,1,11.5
168,181,18.3824733979059,10.3551234393793,1,1,11.75
131,170,18.3469824977411,10.3244999012486,1,1,12
111,157,18.3858249963313,10.3275754658351,1,1,12.25
79,144,18.3604595287983,10.3862290164363,1,1,12.5
78,133,18.4137213015846,10.3966016253593,1,1,12.75
52,126,18.4417244820842,10.297273886134,1,1,13
52,114,18.2635928695207,10.3164574839404,1,1,13.25
