LowerPrey,MedPrey,UpperPrey,LowerPred,MedPred,UpperPred,Time
516,516,516,223,223,223,0
583.5,611,633.5,211,216,220.5,0.25
679,709.5,737.5,205.5,213,219,0.5
756.5,805.5,851,202,211,222,0.75
827.5,890,960.5,200,210,222.5,1
881.5,971,1028,205,216,230,1.25
904.5,996,1069,210,222,235,1.5
920,1000.5,1093,217,234,244,1.75
892,978,1085,228,244,255.5,2
864,953.5,1071,235.5,251,265.5,2.25
813,928,1023.5,245.5,259,278,2.5
746,847,963,253,268.5,285.5,2.75
676.5,779,887.5,258,277,294,3
599,699,799,267.5,281,300,3.25
511,622.5,738,275,289.5,300.5,3.5
445.5,542,656,274,287.5,303,3.75
376,495.5,593,268.5,280,296.5,4
328.5,405.5,536,261,272.5,289.5,4.25
276.5,359.5,460.5,249,267,281,4.5
251,324.5,430,231,257.5,273.5,4.75
232.5,295.5,388.5,222.5,244.5,268,5
211,282,354,211.5,231.5,256.5,5.25
200.5,277,360,195.5,218.5,246,5.5
187.5,276,367.5,186.5,209.5,233,5.75
192.5,284,385,176,194,221,6
216,289.5,389,166,187,208,6.25
235.5,294.5,406,157,177,202.5,6.5
249,325.5,431.5,149.5,173.5,199,6.75
263.5,364,447.5,146.5,173,195,7
303.5,398,478,143.5,175,193,7.25
329.5,422.5,538.5,142.5,170,189.5,7.5
342,447.5,557,144.5,167.5,196,7.75
344.5,461,568,147.5,172,200,8
383.5,484,584,151.5,180.5,201,8.25
376,474,667.5,155.5,179.5,203.5,8.5
342.5,517,650,158,182.5,204,8.75
323,488,626.5,166,187.5,210,9
323.5,424,620,166,189.5,214,9.25
266,386,596,170.5,193,215,9.5
226.5,348,554.5,170.5,193.5,221,9.75
197.5,331,480.5,165,200,223.5,10
172.5,286,420,159.5,198,222.5,10.25
157,255,372.5,157,185.5,221,10.5
127,212,325,149.5,177,219,10.75
127.5,185.5,294.5,141,167.5,202.5,11
107,171,282,133.5,161.5,193.5,11.25
98.5,180.5,291,128,153,183.5,11.5
97.5,165,305.5,124.5,147,176.5,11.75
105.5,169.5,314.5,116,143,167,12
108.5,177,344.5,110,134,163.5,12.25
108,209,348,106,128,156.5,12.5
126.5,231,388,97,125,152.5,12.75
140,249,394.5,98.5,120.5,156,13
173.5,285.5,411,96.5,118,155,13.25
177,280,471.5,95,120.5,155,13.5
176,346,497.5,99,121,157,13.75
199,354.5,518,98,126.5,158,14
215.5,334.5,589.5,107.5,129,165,14.25
210.5,356,557.5,116,139.5,171.5,14.5
198,347,554,116,149.5,177.5,14.75
215.5,320,511.5,117.5,153.5,179.5,15
170.5,310.5,477,121.5,152.5,191,15.25
120,256,439.5,119.5,150.5,189,15.5
106.5,215,409,121.5,152.5,187.5,15.75
88,195.5,338,121,147,180.5,16
73.5,160,312,112,146,177,16.25
63.25,133,291.75,111,141.5,174,16.5
58.25,134,262.25,107,132,168,16.75
59.5,121,215.75,100,122,161.75,17
53.25,100,221.75,95,115,157.25,17.25
55.25,109,225.25,87.25,114,146.75,17.5
55.5,107,248.75,81.5,111,144.5,17.75
54.25,109,235,78,106,132.5,18
60,133,257.25,73.25,104,127.75,18.25
72.25,156,245.25,74.5,96,127,18.5
86,180,287,76.5,91,123,18.75
116,206,335.5,76,93.5,127,19
102,235,353,71.75,96,125.25,19.25
