LowerPrey,MedPrey,UpperPrey,LowerPred,MedPred,UpperPred,Time
686,686,686,263,263,263,0
713.5,744,773.5,253.5,259.5,264,0.25
744,779.5,821.5,248,253.5,263,0.5
779.5,823,862.5,245,254.5,267.5,0.75
787.5,843.5,886.5,247,258,268,1
775,839.5,889,248.5,261,271,1.25
760.5,828.5,906.5,250.5,263,274.5,1.5
722,815.5,893.5,252.5,266,283,1.75
644.5,781,871,260,273,289.5,2
609,719,823,266.5,278.5,292,2.25
551,654.5,781,265,280,296,2.5
497,574.5,714,265,281,295.5,2.75
447,525.5,625,263.5,280,293,3
375,471.5,569.5,256.5,272,290,3.25
312,418,524,249,266,283.5,3.5
263,360,458.5,239.5,254.5,276.5,3.75
233.5,307,436,227,247,270.5,4
200.5,276,398.5,217.5,237,262.5,4.25
173,248,365,203,227,257,4.5
156.5,243.5,332.5,188,214.5,244,4.75
154.5,232.5,314,176,200,234,5
146,236,317.5,165,195,222,5.25
148,233,326.5,153,180,211,5.5
154.5,231,355,141,171.5,204.5,5.75
162,243,377.5,136.5,161,199,6
180.5,246.5,394.5,132,159.5,189,6.25
175.5,294,399.5,128,154,181.5,6.5
190,319.5,435.5,125.5,154.5,178.5,6.75
208.5,326.5,477,121.5,149.5,180,7
228,330,499.5,120,147.5,182.5,7.25
241,361.5,536,118.5,148.5,185.5,7.5
287,385,560.5,121.5,148.5,187,7.75
271,403.5,557.5,124,155,189,8
257,397,626.5,132.5,159.5,186,8.25
255,402.5,575,135,161,190.5,8.5
258,408,574.5,142,162,196.5,8.75
249.5,360.5,555.5,138,165.5,198,9
171.5,326.5,500.5,133,166,207.5,9.25
139,295.5,454,138,168.5,199.5,9.5
112,242.5,398.5,144,165,195.5,9.75
81,221.5,341,143,171,192,10
94,201,307,132,161.5,199,10.25
85,172.5,307,126,153,189,10.5
70.25,150,272.5,117,147,183,10.75
63.5,129,219,105.5,140,179.5,11
51,128.5,236,96.25,132,170,11.25
34,126,272,90,129,163,11.5
38,123.5,266,88,122,151,11.75
44,137,295,89,119,143,12
53,147.5,349,87,111.5,133,12.25
53,165.5,383,83,100,138,12.5
65,201,404,82,96,134,12.75
82,203.5,445,73,98,134,13
95.5,235,476.75,70,95.5,140,13.25
111.5,255,517,64.75,101,152.25,13.5
118.75,269,481.75,64,103,155.5,13.75
131.75,264,510.75,70.75,111,162,14
129.25,285,539.75,76,115,171,14.25
97.75,257,542.75,81.75,120,172.75,14.5
94.25,253,526.5,88.25,133,170,14.75
113,240,427.5,91.5,135,173.75,15
91.25,200,514,97.25,131,170.75,15.25
62,191,424.25,97,130,172.25,15.5
54.5,143,405.5,97.5,129,167.25,15.75
42.5,138,409.25,94.5,133.5,159.5,16
33.25,116,317.75,92,133,167.5,16.25
30,106,287.5,89,121,159.75,16.5
28,98,238,83.5,112.5,154.5,16.75
26.75,85,231.25,80,107.5,148,17
25,82,224,74.5,109,146,17.25
21.5,86,241,75,100,145,17.5
23.5,97,290.75,68,95,142.5,17.75
25.5,117,263.5,62.5,89,123,18
37.5,100.5,296,58.25,86,120.5,18.25
36.25,101,341.75,55,87,121,18.5
42,149,386.5,57.25,86,132.25,18.75
51.5,182,375,52.5,80.5,131.5,19
81.75,188,390.75,54.5,83,137,19.25
81.75,243,424.25,58.5,86,130.25,19.5
73.5,237,493.75,59,89,140.5,19.75
73.25,230,592.25,57.5,95,141.25,20
61.5,258,554,59.75,98,148.25,20.25
52.25,225,520.75,67.25,108,142.25,20.5
41,184.5,420.5,74.75,114,145.25,20.75
38,164,345,82,110.5,155,21
45,119.5,402,82,117.5,157.5,21.25
38.5,106,336.5,79,114,158,21.5
27,79,242.5,79.5,110,156,21.75
23.75,64,217.75,81,105,145.75,22
13,66.5,263.5,77.25,102,144.5,22.25
14,70.5,258,71.5,102,137.5,22.5
11,65.5,241,62,91,131,22.75
13.5,83,259.5,60,87.5,120,23
10.5,98.5,299.5,59,89,126.5,23.25
14.75,70,327.75,55,78.5,121,23.5
13.5,88,317.25,52,70,118,23.75
14,110,327.25,51.75,73,132.5,24
25,152.5,390,51,83,133.75,24.25
34.25,141,270,49,76.5,133,24.5
32.5,117,323,48.5,82,124.5,24.75
37,108.5,349,48.5,93,121,25
40,112,358.5,50,93,126.5,25.25
35.75,129,323.75,47.5,86,140.5,25.5
31.75,95,313.25,49.25,91,134.5,25.75
27,103.5,281,54,84,136.75,26
29.75,131,327.75,59,86,133,26.25
25,106,338.5,57.5,85,126.5,26.5
27,95,268.75,51.5,87.5,115,26.75
37,84,245,53,90,127,27
30,81.5,324,53,85,122,27.25
25,111,339,50,89,129,27.5
30.5,102,322.75,53,93,133,27.75
24,107,316.5,56.25,95,128.75,28
28.5,128,308,54,89,116.75,28.25
29.5,98,393.25,53,83.5,134.5,28.5
28,103.5,340,60.75,80,146,28.75
20,95.5,304,59,83.5,131,29
23,111,300,57,86,127,29.25
23.5,101,369,57,89.5,122,29.5
31,141,377.5,58,87,124,29.75
33.75,100,320,50.25,86,134.75,30
40,75,269,51.5,89,122.75,30.25
43.25,114,229.75,47,81,143,30.5
56.5,95,286,46,84,133,30.75
54,117,212.25,45.5,80.5,123,31
51.25,139,220.5,52.5,80,121.75,31.25
39,99,222.25,57,76,117.5,31.5
30.5,116,268,57.75,87,108.5,31.75
28,136.5,300,59.75,79,109,32
20.75,131,306.5,71,88,103,32.25
15.5,134,282.75,65.75,83,97.5,32.5
17.25,107,248,67.75,77,108,32.75
26.5,90,284.75,65.25,79,119.25,33
32.25,62,206,61.5,75,117.25,33.25
23.75,60,121.75,52,82,99.5,33.5
30.25,58,110.5,44.75,77,102.5,33.75
34.5,62,153.5,43,71,100.75,34
27,62.5,196,47,68.5,113.5,34.25
21,82,223.5,47.5,61,107.5,34.5
22,75.5,231.5,47,62.5,99,34.75
18,93.5,227,47,63.5,89,35
30.5,109,204.5,44,66,90.5,35.25
30.75,88,208.25,44.5,61,102.75,35.5
32.5,92,172.25,41.75,67,92,35.75
35.25,64,201.25,37.5,70,97.25,36
52,112,271,39.5,71,99,36.25
59,108,261,47,68.5,94,36.5
80.5,153,262,45,62.5,85,36.75
86.75,135,307,48,63,84.75,37
78,132,382,49.75,72,101.75,37.25
72.5,139,478.5,59.5,83,125,37.5
58.5,114.5,363.5,62,88.5,117.5,37.75
35,113,229,60.5,89.5,121,38
24,86.5,225.5,58,86.5,125,38.25
16.5,84.5,172,66,80,134,38.5
40,77,175,62,77,126,38.75
36,93.5,150,56,80.5,119,39
32,94,151,53,77.5,110,39.25
38.5,115,202,56,73,111,39.5
37,119,191,61,71,98,39.75
30.5,103,174.5,62,75,95.25,40
32.75,88,148.25,64.25,71,84.25,40.25
33,75,131.75,63.5,69,85,40.5
38.25,82,132.5,58.75,64,90.5,40.75
40,74,98.75,56.25,65,90.25,41
39,71,115.75,56.25,64,82,41.25
45.25,70,121.5,53.25,63,76.25,41.5
51.5,88,152.75,51.75,59,72,41.75
51.5,109,161.75,46.5,54,71,42
59.5,155,185.25,41,53,73.25,42.25
66.25,154,211.5,44.75,50,70.75,42.5
68,145,256.25,45,56,69.75,42.75
69.25,172,314.75,48.5,66,72.75,43
74.25,163,322,50.75,65,81.5,43.25
99.75,215,276.5,51.25,62,105.5,43.5
98.25,154,225,51.75,69,113,43.75
83.75,114,147.75,51.5,67,113.25,44
77.75,102,159.25,48.75,78,111.5,44.25
51.25,114,144.5,49,76,108,44.5
47,91,161.75,57.75,80,105.5,44.75
43.5,106,146,64,76,93,45
35,76,164,67.25,73,84.5,45.25
33.5,57,181.25,63.5,67,84.5,45.5
29,64,185.5,57.5,65,81.5,45.75
25.75,49,170.75,57.25,64,83.75,46
34.5,91,174.5,55.5,64,91,46.25
46.5,89.5,128,49.5,66.5,85.5,46.5
48,73.5,107.5,45,66.5,89,46.75
40,81,101,41,59.5,86.5,47
55,89,123,36,65,84,47.25
40.25,86,157.5,30.5,63,70.5,47.5
44,89,164.75,35,59,74,47.75
49.5,95,226.25,42.5,53,69.5,48
83.25,122,242.5,44.5,55,77.25,48.25
115.75,145,243.75,42,58,85,48.5
117.5,206,252.5,41.25,58,93,48.75
121.75,178,218,47.5,56,95.25,49
86,139,191.75,47.75,58,94.25,49.25
71,122,167.5,58,66,90.25,49.5
59.25,83,143.5,59.5,75,89.75,49.75
43.75,94,143.5,57.75,82,91.25,50
