LowerPrey,MedPrey,UpperPrey,LowerPred,MedPred,UpperPred,Time
100,100,100,88,88,88,0
90,103.5,112.5,85,88,92,0.25
89.5,103,111.5,83,89,94,0.5
90,99.5,108.5,81,88.5,96,0.75
86,98,110,80,86.5,96,1
86,99.5,114,80.5,85.5,95.5,1.25
82,100.5,114.5,79.5,87,95.5,1.5
81,95,111.5,78,87,95.5,1.75
77,97,110,76,88,96.5,2
74.5,97,111,78.5,85,95,2.25
73.5,97,114,77,86,94,2.5
74,94.5,113,76,85,93,2.75
74,92.5,112,77,84,95,3
69.5,89.5,112,76,84.5,94,3.25
69,88,110.5,76.5,85,94.5,3.5
65,85.5,110.5,77,84,95.5,3.75
58.5,86,116,76,83.5,93.5,4
58,86,119.5,74.5,83,93,4.25
60,86,112.5,74,81,93.5,4.5
56,83,115,73,81.5,93.5,4.75
60,82,103,70.25,82,91,5
58.25,82,108.25,69.25,78,91,5.25
62.25,86,106.75,69.25,78,90.75,5.5
58.5,88,106,67,77,91,5.75
63.75,84,104.75,67,76,89.75,6
61,81,105.75,66.25,79,89.75,6.25
63.25,85,105,64.25,79,89,6.5
64,86,107,64.25,77,90.75,6.75
57,85,107.75,66,78,87,7
54,85,104,67,77,85,7.25
59.25,84,109,66.25,75,84.75,7.5
53.75,86,111.75,64,76,85,7.75
52.25,82,110,64.25,73,84,8
54,81,113,65,72,84,8.25
60.25,84,115,63.25,71,83,8.5
60,88,115.25,65,72,85,8.75
60,80,112,65,72,83.75,9
58,87.5,111,64,74,85,9.25
57,87.5,110,66,75,85,9.5
55,84,112,66,74,82,9.75
61,81,114,66,75.5,81,10
57.75,87,112,66,75,82,10.25
54.75,84,104.75,68.75,76,86,10.5
54.75,78,105.5,65.75,76,88.25,10.75
51.25,72,103,67,78,89.25,11
43.75,73,99.5,64,79,91,11.25
39,69,100.25,65.5,78,90,11.5
39,66,98,63.75,78,90,11.75
34.75,69,101.75,63,78,85,12
37,69,97,62.75,76,85,12.25
39,67,101.75,59,76,87,12.5
39,61.5,101,58.25,73,86,12.75
42,63.5,105,57,72.5,86,13
43,64,93.5,57,72.5,86,13.25
39.5,66,95,56.75,71,85.25,13.5
37,65.5,99,56.75,70,84.5,13.75
